Age Range,RemoteWork,EdLevel,YearsCode,DevType,OrgSize,Country,ICorPM,WorkExp,Industry,TotalComp
30,Remote,Masters,6,"Developer, full-stack",15,United States of America,Individual contributor,10,Other,145000
30,Remote,Bachelors,15,Engineering manager,500 to 999,United States of America,People manager,16,Other,195000
60,Hybrid,Bachelors,42,Developer Experience,50,United States of America,Individual contributor,38,Computer Systems Design and Services,165000
30,Remote,Bachelors,11,"Developer, front-end",50,Ukraine,Individual contributor,8,Software Development,24000
30,Hybrid,Bachelors,17,Research & Development role,250,United States of America,,0,Other,127000
20,Remote,Bachelors,10,"Developer, full-stack",500 to 999,United States of America,Individual contributor,3,Software Development,98000
50,Hybrid,Professional degree,38,Project manager,250,United States of America,,0,Other,90000
40,Remote,Masters,9,"Developer, front-end",50,United States of America,Individual contributor,15,Software Development,175000
30,Hybrid,Bachelors,6,"Developer, QA or test",500 to 999,United States of America,Individual contributor,9,Software Development,159000
40,Remote,Masters,27,Other,7500,United States of America,Individual contributor,14,Other,155000
40,Remote,Bachelors,16,Cloud infrastructure engineer,50,Nicaragua,,0,Other,211000
30,Remote,Bachelors,14,Engineering manager,10000,United States of America,People manager,9,Software Development,257695
50,Hybrid,Some college,40,"Developer, full-stack",10000,United States of America,Individual contributor,27,Manufacturing,170000
40,Remote,Some college,21,"Developer, full-stack",500 to 999,United States of America,Individual contributor,21,Energy,190000
20,In-person,Bachelors,10,Security professional,250,United States of America,,0,Other,120000
20,In-person,Bachelors,7,"Engineer, site reliability",250,United States of America,Individual contributor,3,Internet Telecomm or Information Services,85000
50,Remote,Bachelors,24,"Developer, embedded applications or devices",1,United States of America,,0,Other,160000
30,Remote,Masters,8,"Developer, back-end",50,Ukraine,Individual contributor,8,Software Development,10000
50,Remote,Bachelors,35,"Developer, full-stack",250,United States of America,,0,Other,174000
30,Hybrid,Bachelors,16,"Developer, full-stack",500 to 999,United States of America,,0,Other,119000
50,Hybrid,Some college,30,"Developer, full-stack",250,United States of America,Individual contributor,30,Other,80000
40,Remote,Bachelors,27,Other,2500,United States of America,Individual contributor,18,Other,220000
50,Remote,Bachelors,32,"Developer, full-stack",250,United States of America,Individual contributor,34,Government,100000
30,Remote,Associates,12,"Developer, full-stack",10000,United States of America,Individual contributor,9,Retail and Consumer Services,170000
30,Hybrid,Masters,13,"Developer, full-stack",50,United States of America,Individual contributor,8,Manufacturing,126000
40,In-person,Some college,10,"Developer, full-stack",250,United States of America,Individual contributor,9,Healthcare,78000
50,Hybrid,Bachelors,7,Product manager,50,United States of America,,0,Other,80000
30,Remote,Bachelors,19,"Developer, mobile",5,"Iran, Islamic Republic of...",Individual contributor,18,Software Development,60000
40,Hybrid,Bachelors,20,Other,250,United States of America,Individual contributor,11,Fintech,250000
30,Hybrid,Masters,15,Academic researcher,25,United States of America,,0,Other,45000
40,Remote,Professional degree,30,Academic researcher,2500,United States of America,Individual contributor,20,Higher Education,90000
30,Remote,Bachelors,9,"Developer, full-stack",250,United States of America,Individual contributor,7,Energy,130000
30,Remote,Bachelors,15,"Developer, back-end",10000,United States of America,Individual contributor,10,Software Development,250000
30,Remote,Masters,9,"Developer, back-end",10000,United States of America,Individual contributor,8,Higher Education,73500
40,Remote,Masters,17,"Developer, full-stack",7500,United States of America,Individual contributor,7,Software Development,155000
40,Remote,Bachelors,26,"Developer, back-end",250,United States of America,Individual contributor,22,Retail and Consumer Services,184000
30,Remote,Bachelors,10,"Developer, back-end",250,United States of America,Individual contributor,5,Computer Systems Design and Services,150000
50,Remote,Bachelors,32,"Developer, full-stack",50,United States of America,Individual contributor,28,Other,130000
30,Remote,Masters,8,"Developer, mobile",250,Ukraine,Individual contributor,6,Media & Advertising Services,63600
40,Hybrid,Professional degree,15,Scientist,500 to 999,United States of America,Individual contributor,15,Government,75000
50,In-person,Associates,10,"Developer, full-stack",250,United States of America,Individual contributor,8,Higher Education,80000
60,Remote,Bachelors,50,"Developer, full-stack",50,United States of America,Individual contributor,50,Other,160000
40,Remote,Masters,27,"Developer, AI",250,United States of America,Individual contributor,19,Other,130000
40,Remote,Primary school,28,"Developer, full-stack",10000,United States of America,Individual contributor,23,Retail and Consumer Services,132612
40,Remote,Masters,25,"Developer, full-stack",50,Ukraine,Individual contributor,25,Software Development,15876
30,Hybrid,Bachelors,8,"Developer, back-end",250,United States of America,Individual contributor,3,Internet Telecomm or Information Services,73000
60,Hybrid,Bachelors,38,"Developer, full-stack",2500,United States of America,,0,Other,110000
30,Remote,Bachelors,13,DevOps specialist,15,Bangladesh,Individual contributor,10,Media & Advertising Services,45000
30,Hybrid,Some college,20,Cloud infrastructure engineer,500 to 999,United States of America,,0,Other,250000
40,Remote,Bachelors,15,"Developer, front-end",15,Thailand,Individual contributor,14,Software Development,15000
30,Remote,Bachelors,15,"Developer, full-stack",5,United States of America,Individual contributor,13,Software Development,140000
50,Hybrid,Professional degree,30,"Developer, back-end",50,United States of America,Individual contributor,26,Software Development,175000
30,In-person,Masters,7,"Developer, embedded applications or devices",10000,United States of America,Individual contributor,7,Other,123000
40,Remote,Some college,27,"Engineer, site reliability",250,United States of America,Individual contributor,21,Software Development,250000
50,Remote,Some college,18,Project manager,50,United States of America,,0,Other,150000
40,Remote,Masters,15,Other,2500,El Salvador,,0,Other,50400
30,Remote,Bachelors,13,"Developer, back-end",25,United States of America,Individual contributor,10,Fintech,207000
30,In-person,Professional degree,11,Research & Development role,50,United States of America,,0,Other,130000
40,Remote,Some college,12,"Developer, desktop or enterprise applications",2500,United States of America,Individual contributor,15,Software Development,160000
20,In-person,Some college,4,"Developer, desktop or enterprise applications",50,Ecuador,Individual contributor,0,Other,5400
40,Hybrid,Some college,22,"Developer, full-stack",50,Argentina,Individual contributor,19,Software Development,24000
30,Remote,Bachelors,16,"Developer, full-stack",50,Brazil,Individual contributor,16,Transportation or Supply Chain,52800
30,Hybrid,Some college,11,"Developer, front-end",250,United States of America,Individual contributor,6,Government,137000
30,Remote,Bachelors,12,Security professional,250,United States of America,Individual contributor,10,Other,150000
40,Hybrid,Masters,15,"Developer, AI",10000,United States of America,Individual contributor,14,Computer Systems Design and Services,400000
30,Hybrid,Secondary school,10,DevOps specialist,2500,United States of America,Individual contributor,7,Insurance,120000
20,Hybrid,Bachelors,9,"Developer, full-stack",5,United States of America,Individual contributor,4,Computer Systems Design and Services,75000
40,Hybrid,Masters,12,Research & Development role,2500,United States of America,,0,Other,87500
30,In-person,Bachelors,11,"Developer, full-stack",250,United States of America,Individual contributor,7,Internet Telecomm or Information Services,70000
40,Hybrid,Some college,27,"Developer, full-stack",50,United States of America,Individual contributor,17,Software Development,126000
40,Remote,Bachelors,19,"Developer, full-stack",50,United States of America,Individual contributor,13,Software Development,152000
50,Remote,Bachelors,30,"Developer, full-stack",15,United States of America,Individual contributor,35,Software Development,135000
40,Remote,Secondary school,20,"Developer, front-end",500 to 999,Argentina,,0,Other,105000
30,Hybrid,Masters,23,Other,500 to 999,United States of America,Individual contributor,11,Other,165000
30,Remote,Bachelors,11,"Developer, back-end",500 to 999,"Venezuela, Bolivarian Republic of...",Individual contributor,10,Software Development,13200
30,Remote,Bachelors,13,"Developer, full-stack",1,United States of America,,0,Other,17000
60,Remote,Masters,42,"Developer, back-end",250,United States of America,Individual contributor,23,Retail and Consumer Services,165000
20,Hybrid,Masters,14,Research & Development role,15,United States of America,Individual contributor,3,Computer Systems Design and Services,125000
40,Remote,Bachelors,11,"Developer, full-stack",7500,United States of America,Individual contributor,9,Retail and Consumer Services,200000
30,Remote,Bachelors,15,DevOps specialist,2500,United States of America,People manager,8,Insurance,130000
30,Remote,Masters,10,"Developer, game or graphics",25,United States of America,Individual contributor,3,Other,102000
30,Hybrid,Bachelors,6,"Developer, front-end",250,United States of America,Individual contributor,3,Other,65000
30,In-person,Bachelors,16,"Developer, back-end",250,United States of America,Individual contributor,12,Other,192000
60,In-person,Bachelors,45,"Senior Executive (C-Suite, VP, etc.)",5,United States of America,People manager,40,Retail and Consumer Services,100000
50,Remote,Bachelors,25,"Developer, desktop or enterprise applications",250,United States of America,,0,Other,163000
30,Remote,Associates,5,"Developer, full-stack",50,United States of America,Individual contributor,5,Banking or Financial Services,102907
40,Remote,Bachelors,20,"Developer, back-end",250,United States of America,,0,Other,180000
30,Remote,Bachelors,7,"Developer, front-end",5,Zimbabwe,,0,Other,7200
30,Remote,Bachelors,13,"Developer, back-end",250,United States of America,Individual contributor,8,Other,115000
20,Remote,Bachelors,7,"Developer, back-end",15,Georgia,Individual contributor,6,Fintech,70000
30,Hybrid,Bachelors,9,"Developer, front-end",50,United States of America,People manager,5,Transportation or Supply Chain,140000
30,Remote,Bachelors,7,"Developer, full-stack",15,United States of America,Individual contributor,5,Software Development,102500
30,Hybrid,Bachelors,15,"Developer, full-stack",250,United States of America,Individual contributor,11,Manufacturing,108000
30,Hybrid,Bachelors,10,"Developer, full-stack",250,United States of America,Individual contributor,6,Software Development,132000
40,Remote,Bachelors,19,"Developer, full-stack",250,United States of America,Individual contributor,19,Healthcare,140000
20,In-person,Bachelors,2,"Developer, full-stack",5,United States of America,Individual contributor,2,Other,75000
40,Remote,Masters,8,"Developer, back-end",250,Ukraine,Individual contributor,8,Software Development,120000
30,Hybrid,Masters,16,Engineering manager,7500,United States of America,,0,Other,200000
30,Hybrid,Masters,8,"Developer, full-stack",250,United States of America,Individual contributor,5,Software Development,200000
40,Remote,Masters,27,"Developer, full-stack",500 to 999,United States of America,People manager,17,Higher Education,93000
40,Remote,Bachelors,12,"Developer, mobile",1,United States of America,Individual contributor,10,Software Development,155250
20,Remote,Bachelors,11,"Developer, full-stack",250,United States of America,Individual contributor,5,Software Development,102000
60,Remote,Bachelors,30,"Developer, back-end",250,United States of America,Individual contributor,30,Other,150000
50,Remote,Professional degree,37,Research & Development role,50,United States of America,Individual contributor,25,Other,205000
50,Remote,Bachelors,25,"Developer, full-stack",5,United States of America,Individual contributor,27,Software Development,165000
60,Hybrid,Bachelors,35,Other,250,United States of America,,0,Other,120000
30,In-person,Bachelors,10,"Developer, front-end",2500,United States of America,,0,Other,91500
30,Hybrid,Masters,11,"Developer, full-stack",250,United States of America,Individual contributor,7,Software Development,140000
40,Remote,Bachelors,15,"Developer, full-stack",10000,United States of America,Individual contributor,13,Other,97000
30,Hybrid,Bachelors,11,"Developer, desktop or enterprise applications",50,United States of America,,0,Other,135200
20,Hybrid,Bachelors,4,Data or business analyst,250,United States of America,Individual contributor,2,Other,35000
40,In-person,Bachelors,15,"Developer, full-stack",5,United States of America,Individual contributor,20,Software Development,110000
30,Remote,Bachelors,22,"Developer, back-end",2500,United States of America,,0,Other,140000
50,Hybrid,Bachelors,30,Engineering manager,50,United States of America,,0,Other,190000
50,Hybrid,Masters,29,"Developer, back-end",2500,United States of America,,0,Other,160000
40,Remote,Masters,27,"Developer, full-stack",10000,United States of America,,0,Other,250000
40,Hybrid,Secondary school,14,Cloud infrastructure engineer,2500,United States of America,Individual contributor,20,Retail and Consumer Services,133600
50,Remote,Professional degree,44,"Developer, back-end",10000,United States of America,Individual contributor,30,Software Development,301210
40,Remote,Professional degree,30,Scientist,10000,United States of America,Individual contributor,24,Healthcare,240000
50,Remote,Bachelors,35,"Developer, full-stack",5,United States of America,People manager,31,Healthcare,150000
20,Hybrid,Bachelors,8,"Developer, full-stack",25,United States of America,Individual contributor,3,Other,88000
50,Hybrid,Bachelors,30,"Developer, embedded applications or devices",250,United States of America,Individual contributor,27,Computer Systems Design and Services,144000
20,Remote,Associates,3,"Developer, front-end",50,Egypt,People manager,1,Other,5000
30,Remote,Bachelors,11,"Developer, back-end",250,United States of America,Individual contributor,4,Software Development,120000
50,Hybrid,Bachelors,21,"Developer, back-end",2500,United States of America,,0,Other,158000
30,Hybrid,Bachelors,13,"Developer, embedded applications or devices",10000,United States of America,Individual contributor,6,Other,145000
20,Hybrid,Bachelors,9,"Developer, desktop or enterprise applications",250,United States of America,Individual contributor,2,Software Development,149000
40,Hybrid,Bachelors,15,"Developer, full-stack",10000,United States of America,Individual contributor,6,Retail and Consumer Services,90000
30,Remote,Bachelors,12,"Developer, front-end",250,Ukraine,Individual contributor,8,Software Development,50000
60,Remote,Masters,40,"Developer, desktop or enterprise applications",10000,United States of America,Individual contributor,40,Software Development,180000
60,Remote,Masters,23,"Developer, QA or test",25,United States of America,Individual contributor,37,Banking or Financial Services,176800
40,Remote,Associates,27,"Developer, back-end",50,United States of America,Individual contributor,20,Software Development,200000
30,Remote,Bachelors,10,"Developer, back-end",250,Ukraine,,0,Other,120000
50,Remote,Bachelors,20,Engineering manager,500 to 999,United States of America,People manager,25,Energy,270000
40,Remote,Bachelors,30,"Developer, back-end",250,United States of America,Individual contributor,19,Software Development,175000
40,Remote,Some college,15,Data engineer,250,United States of America,Individual contributor,15,Software Development,250000
30,Remote,Bachelors,10,"Developer, back-end",50,Mexico,Individual contributor,7,Media & Advertising Services,70000
40,Remote,Bachelors,7,"Developer, back-end",10000,United States of America,Individual contributor,15,Higher Education,115000
40,In-person,Some college,14,"Developer, full-stack",2500,United States of America,Individual contributor,8,Retail and Consumer Services,75000
50,Hybrid,Bachelors,24,Data engineer,7500,United States of America,Individual contributor,23,Software Development,170000
20,In-person,Bachelors,5,"Developer, full-stack",50,United States of America,,0,Other,80000
40,Hybrid,Masters,17,Designer,2500,United States of America,Individual contributor,15,Software Development,207662
50,Remote,Bachelors,23,"Developer, back-end",7500,United States of America,,0,Other,220000
40,Remote,Masters,13,"Developer, full-stack",7500,United States of America,,0,Other,357000
30,Remote,Masters,20,"Developer, back-end",5,United States of America,,0,Other,300000
30,Hybrid,Masters,9,"Developer, full-stack",250,Ukraine,,0,Other,70000
50,Remote,Bachelors,30,"Developer, back-end",250,United States of America,Individual contributor,30,Government,182000
30,Remote,Masters,13,"Developer, mobile",250,United States of America,Individual contributor,6,Software Development,143000
60,Remote,Bachelors,27,"Developer, front-end",5,United States of America,,0,Other,66000
40,Remote,Professional degree,22,"Senior Executive (C-Suite, VP, etc.)",10000,United States of America,,0,Other,210000
20,In-person,Bachelors,8,"Developer, full-stack",7500,United States of America,Individual contributor,0,Healthcare,83000
30,Hybrid,Bachelors,9,"Developer, front-end",7500,United States of America,Individual contributor,10,Government,135000
30,Remote,Bachelors,17,Data engineer,10000,United States of America,,0,Other,140000
30,Remote,Bachelors,6,Data engineer,250,United States of America,Individual contributor,6,Software Development,245000
30,In-person,Bachelors,13,Academic researcher,2500,United States of America,,0,Other,32000
30,Hybrid,Bachelors,10,"Developer, full-stack",250,United States of America,Individual contributor,7,Other,140000
30,Remote,Bachelors,7,Academic researcher,250,United States of America,Individual contributor,0,Energy,36000
40,Remote,Some college,15,"Developer, full-stack",2500,Argentina,Individual contributor,15,Software Development,25000
40,Remote,Some college,22,"Developer, game or graphics",50,Bulgaria,Individual contributor,18,Software Development,75000
20,Hybrid,Bachelors,5,"Developer, full-stack",2500,United States of America,,0,Other,78300
60,Hybrid,Some college,37,"Developer, desktop or enterprise applications",15,United States of America,Individual contributor,35,Banking or Financial Services,150000
30,Hybrid,Bachelors,23,"Developer, back-end",10000,United States of America,Individual contributor,5,Banking or Financial Services,165000
40,Remote,Bachelors,20,Data engineer,250,United States of America,Individual contributor,17,Software Development,180000
40,Remote,Bachelors,16,"Developer, full-stack",50,United States of America,Individual contributor,14,Healthcare,150000
70,Remote,Professional degree,50,"Developer, desktop or enterprise applications",5,United States of America,,0,Other,40000
30,In-person,Bachelors,20,"Developer, full-stack",50,United States of America,Individual contributor,10,Transportation or Supply Chain,83000
50,Hybrid,Bachelors,30,"Developer, front-end",15,United States of America,Individual contributor,23,Government,110000
50,Remote,Bachelors,34,"Developer, back-end",2500,United States of America,Individual contributor,34,Retail and Consumer Services,207000
30,Hybrid,Bachelors,11,"Developer, full-stack",7500,Ecuador,Individual contributor,2,Internet Telecomm or Information Services,18000
60,Remote,Bachelors,45,"Developer, back-end",500 to 999,United States of America,Individual contributor,45,Software Development,210000
50,Remote,Bachelors,32,"Developer, front-end",10000,Armenia,Individual contributor,20,Software Development,76000
30,Remote,Bachelors,23,"Developer, full-stack",5,United States of America,Individual contributor,8,Internet Telecomm or Information Services,120000
30,Remote,Bachelors,13,"Developer, full-stack",2500,United States of America,Individual contributor,9,Software Development,300000
40,Hybrid,Bachelors,14,"Developer, back-end",10000,United States of America,Individual contributor,15,Retail and Consumer Services,305000
30,Remote,Some college,10,"Developer, back-end",50,Paraguay,,0,Other,15500
70,Remote,Bachelors,44,"Developer, embedded applications or devices",1,Argentina,,0,Other,15000
40,Remote,Bachelors,18,"Developer, full-stack",500 to 999,United States of America,Individual contributor,28,Software Development,105500
30,Remote,Bachelors,16,"Developer, full-stack",5,United States of America,Individual contributor,12,Software Development,103000
30,Remote,Associates,16,"Developer, back-end",250,Paraguay,Individual contributor,16,Healthcare,58000
30,Hybrid,Some college,6,Engineering manager,7500,United States of America,People manager,5,Other,130000
30,Hybrid,Bachelors,14,"Developer, full-stack",50,United States of America,,0,Other,120000
40,Remote,Bachelors,27,"Developer, mobile",2500,United States of America,Individual contributor,23,Media & Advertising Services,226000
30,Hybrid,Masters,15,"Developer, embedded applications or devices",10000,United States of America,,0,Other,127000
40,Remote,Bachelors,14,"Developer, back-end",250,United States of America,Individual contributor,14,Media & Advertising Services,180000
40,Hybrid,Bachelors,15,"Developer, full-stack",2500,United States of America,Individual contributor,16,Other,142000
40,Remote,Bachelors,31,"Developer, full-stack",5,United States of America,Individual contributor,19,Software Development,160000
30,Remote,Bachelors,7,"Developer, full-stack",2500,Ukraine,Individual contributor,5,Fintech,36000
50,Remote,Associates,42,Other,10000,United States of America,People manager,28,Healthcare,168000
30,Remote,Bachelors,11,"Developer, front-end",10000,United States of America,,0,Other,200000
40,Hybrid,Masters,10,"Developer, full-stack",2500,United States of America,Individual contributor,10,Banking or Financial Services,230000
40,Remote,Associates,30,"Developer, full-stack",2500,United States of America,Individual contributor,25,Higher Education,155000
50,Hybrid,Masters,28,"Senior Executive (C-Suite, VP, etc.)",2500,United States of America,People manager,30,Software Development,260000
40,Remote,Bachelors,3,DevOps specialist,500 to 999,Ukraine,,0,Other,30000
50,Remote,Some college,34,"Developer, full-stack",15,United States of America,Individual contributor,32,Other,235000
40,Hybrid,Associates,18,Data engineer,5,United States of America,Individual contributor,25,Media & Advertising Services,46000
50,Remote,Bachelors,3,"Developer, full-stack",1,United States of America,,0,Other,55000
60,Remote,Bachelors,42,"Developer, full-stack",2500,United States of America,Individual contributor,33,Higher Education,130000
30,Remote,Bachelors,14,"Developer, back-end",250,Ukraine,Individual contributor,11,Software Development,110000
40,Remote,Bachelors,25,Developer Advocate,250,United States of America,People manager,18,Internet Telecomm or Information Services,230000
30,Remote,Masters,12,Security professional,250,United States of America,Individual contributor,5,Software Development,197000
40,Remote,Professional degree,12,Academic researcher,10000,United States of America,Individual contributor,20,Other,70000
20,Remote,Secondary school,9,"Developer, full-stack",50,Netherlands,,0,Other,80000
30,Hybrid,Masters,14,Data scientist or machine learning specialist,7500,United States of America,,0,Other,300000
50,In-person,Some college,25,Engineering manager,2500,United States of America,People manager,25,Manufacturing,130000
70,Remote,Professional degree,50,Research & Development role,15,United States of America,,0,Other,200000
40,Remote,Bachelors,25,"Developer, full-stack",50,United States of America,Individual contributor,25,Retail and Consumer Services,163000
60,Hybrid,Masters,20,Data scientist or machine learning specialist,2500,United States of America,Individual contributor,33,Higher Education,155000
40,In-person,Masters,22,Educator,2500,United States of America,People manager,21,Higher Education,52840
30,Remote,Bachelors,20,"Developer, full-stack",5,United States of America,Individual contributor,14,Other,180000
30,In-person,Bachelors,4,"Developer, embedded applications or devices",50,United States of America,Individual contributor,2,Other,77000
40,Hybrid,Bachelors,14,"Developer, full-stack",1,United States of America,,0,Other,270000
60,In-person,Bachelors,50,"Developer, embedded applications or devices",2500,United States of America,Individual contributor,42,Healthcare,145000
30,Remote,Bachelors,6,Data scientist or machine learning specialist,10000,United States of America,Individual contributor,5,Healthcare,120000
40,Remote,Bachelors,19,Cloud infrastructure engineer,50,United States of America,People manager,15,Internet Telecomm or Information Services,206000
30,Remote,Some college,3,"Developer, full-stack",50,Turkmenistan,Individual contributor,14,Internet Telecomm or Information Services,80000
30,Remote,Bachelors,12,"Developer, full-stack",250,United States of America,Individual contributor,5,Software Development,142000
40,Remote,Bachelors,20,"Developer, full-stack",2500,El Salvador,,0,Other,72000
40,Remote,Masters,20,"Developer, back-end",2500,United States of America,Individual contributor,14,Software Development,190000
